Time,evapo temperature,evapo relative humidity,compressor power
1.082750000000000000e+03,1.147707379054110000e+01,5.046172879127129818e+01,2.978592848234339954e+02
1.083000000000000000e+03,1.149420956220120082e+01,5.012399289598560159e+01,2.991684075869400203e+02
1.083250000000000000e+03,1.150747530473520008e+01,4.981842667039099837e+01,2.999373477119499967e+02
1.083500000000000000e+03,1.152410133028219974e+01,4.950886945267139794e+01,3.005732677227150020e+02
1.083750000000000000e+03,1.153674398046829985e+01,4.923516517720990038e+01,3.009859356782270083e+02
1.084000000000000000e+03,1.154611822127139931e+01,4.899394883902800046e+01,3.012217312487359777e+02
1.084250000000000000e+03,1.155283716012110062e+01,4.878195724824440305e+01,3.013014168866610021e+02
1.084500000000000000e+03,1.155741387281180010e+01,4.859615211042329719e+01,3.012346447414719819e+02
1.084750000000000000e+03,1.156022573479130067e+01,4.843400405994079705e+01,3.010495877099780273e+02
1.085000000000000000e+03,1.156156994018600059e+01,4.829324342348439814e+01,3.007785232787459790e+02
1.085250000000000000e+03,1.155853085696720051e+01,4.819081788293890156e+01,3.020212099902799991e+02
1.085500000000000000e+03,1.154948946517239960e+01,4.813376856371800017e+01,3.049378293827999755e+02
1.085750000000000000e+03,1.153375060106870009e+01,4.812239363894399702e+01,3.096148171992199991e+02
1.086000000000000000e+03,1.151196790282559945e+01,4.815210276271410095e+01,3.163919992043769867e+02
1.086250000000000000e+03,1.148924667592149973e+01,4.818086714473840004e+01,3.215611750007619776e+02
1.086500000000000000e+03,1.146731539274649947e+01,4.820375609262809746e+01,3.253893215854440086e+02
1.086750000000000000e+03,1.144637457535310077e+01,4.822266193048550065e+01,3.280770659822790094e+02
1.087000000000000000e+03,1.142709440206439986e+01,4.823671433856269886e+01,3.298699553281470003e+02
1.087250000000000000e+03,1.140978656409740033e+01,4.824669536379040125e+01,3.308799304952989928e+02
1.087500000000000000e+03,1.139491562009719949e+01,4.825158341293710151e+01,3.312759128352170137e+02
1.087750000000000000e+03,1.138273399048340018e+01,4.825079921987769893e+01,3.311786929884329993e+02
1.088000000000000000e+03,1.137315867558820059e+01,4.824493529537979697e+01,3.307136022311340184e+02
1.088250000000000000e+03,1.136583797925290007e+01,4.823558452571680277e+01,3.300518089008110110e+02
1.088500000000000000e+03,1.136035394240339969e+01,4.822439535562200064e+01,3.293936021863449923e+02
1.088750000000000000e+03,1.135615200525269941e+01,4.821351879431949783e+01,3.287674410706230219e+02
1.089000000000000000e+03,1.135296323073609948e+01,4.820344080011509647e+01,3.281834479278979870e+02
1.089250000000000000e+03,1.135041437940719966e+01,4.819535028907409924e+01,3.277009796583610068e+02
1.089500000000000000e+03,1.134790234316199964e+01,4.819172548218249830e+01,3.274516633844190210e+02
1.089750000000000000e+03,1.134498013652549986e+01,4.819390619634030060e+01,3.274656208145379992e+02
1.090000000000000000e+03,1.134139837281989927e+01,4.820219918205619791e+01,3.277137219068740137e+02
1.090250000000000000e+03,1.133709933368579925e+01,4.821608490779709655e+01,3.281368560353610064e+02
1.090500000000000000e+03,1.133219308090560062e+01,4.823439890120260287e+01,3.286601941555550184e+02
1.090750000000000000e+03,1.132684652138090087e+01,4.825595397000370212e+01,3.292299500094060249e+02
1.091000000000000000e+03,1.132123295219139969e+01,4.827970074204120010e+01,3.298105119962110052e+02
1.091250000000000000e+03,1.131571598924820066e+01,4.830354043890280025e+01,3.302973044863509813e+02
1.091500000000000000e+03,1.131095865201420025e+01,4.832383731928830173e+01,3.305015458961379977e+02
1.091750000000000000e+03,1.130741266125789934e+01,4.833860971528589801e+01,3.303793167695910142e+02
1.092000000000000000e+03,1.130529246256350007e+01,4.834722685917260065e+01,3.299675016533619782e+02
1.092250000000000000e+03,1.130456270486429915e+01,4.835027273293700034e+01,3.293564134454150008e+02
1.092500000000000000e+03,1.130494663668119948e+01,4.834940058993070267e+01,3.286725749836850241e+02
1.092750000000000000e+03,1.130616198226219993e+01,4.834591912574310157e+01,3.279842946794320255e+02
1.093000000000000000e+03,1.130797113880599980e+01,4.834073685972199996e+01,3.273217299129810272e+02
1.093250000000000000e+03,1.131037193954790077e+01,4.833338249843330203e+01,3.266252592914480033e+02
